split,label,video_name,clip_num,start_sec,end_sec,avg_motion,max_motion,std_motion,motion_first_half,motion_second_half,motion_change,motion_peak_position
train,foul,foul_019.mp4,3,2.0,3.0,23.3,32.61,3.9,22.65,23.96,1.3,0.75
train,foul,foul_019.mp4,4,3.0,4.0,28.81,68.46,9.43,24.63,32.99,8.36,0.96
train,foul,foul_020.mp4,1,0.0,1.0,9.18,44.1,7.68,9.34,9.02,-0.32,0.33
train,foul,foul_020.mp4,2,1.0,2.0,12.5,19.09,3.1,13.66,11.34,-2.32,0.38
train,foul,foul_020.mp4,3,2.0,3.0,12.76,18.43,3.0,12.93,12.58,-0.35,0.42
train,foul,foul_020.mp4,4,3.0,4.0,12.17,53.21,8.98,10.39,13.94,3.55,0.79
train,foul,foul_021.mp4,1,0.0,1.0,7.38,70.21,13.42,11.18,3.58,-7.6,0.08
train,foul,foul_021.mp4,2,1.0,2.0,2.74,3.72,0.43,3.01,2.46,-0.56,0.04
train,foul,foul_021.mp4,3,2.0,3.0,2.16,2.82,0.34,2.41,1.91,-0.51,0.0
train,foul,foul_021.mp4,4,3.0,4.0,3.71,43.71,8.63,1.57,5.84,4.27,0.92
train,foul,foul_022.mp4,1,0.0,1.0,15.17,42.12,9.2,14.15,16.19,2.04,0.21
train,foul,foul_022.mp4,2,1.0,2.0,15.68,19.68,3.27,13.69,17.66,3.97,0.71
train,foul,foul_022.mp4,3,2.0,3.0,19.65,24.03,1.44,18.48,20.83,2.35,0.88
train,foul,foul_022.mp4,4,3.0,4.0,8.2,42.16,8.68,11.93,4.48,-7.46,0.12
train,foul,foul_023.mp4,1,0.0,1.0,7.34,8.33,0.69,7.84,6.83,-1.01,0.0
train,foul,foul_023.mp4,2,1.0,2.0,5.92,6.75,0.31,5.75,6.08,0.32,0.92
train,foul,foul_023.mp4,3,2.0,3.0,3.84,6.5,1.6,4.73,2.95,-1.79,0.12
train,foul,foul_023.mp4,4,3.0,4.0,8.05,36.88,6.07,6.33,9.77,3.45,0.92
train,foul,foul_024.mp4,1,0.0,1.0,12.1,53.67,9.34,7.72,16.48,8.76,0.71
train,foul,foul_024.mp4,2,1.0,2.0,10.05,17.12,3.54,8.44,11.66,3.22,0.79
train,foul,foul_024.mp4,3,2.0,3.0,19.05,21.37,2.89,17.62,20.49,2.87,0.54
train,foul,foul_024.mp4,4,3.0,4.0,18.13,19.33,1.36,18.28,17.97,-0.32,0.58
train,foul,foul_025.mp4,1,0.0,1.0,4.0,54.19,10.59,6.64,1.36,-5.28,0.08
train,foul,foul_025.mp4,2,1.0,2.0,1.58,2.09,0.21,1.61,1.56,-0.05,0.54
train,foul,foul_025.mp4,3,2.0,3.0,1.35,1.73,0.18,1.28,1.43,0.15,0.0
train,foul,foul_025.mp4,4,3.0,4.0,6.32,14.06,3.17,5.57,7.08,1.51,0.21
train,foul,foul_027.mp4,1,0.0,1.0,9.37,42.68,7.48,12.05,6.7,-5.35,0.21
train,foul,foul_027.mp4,2,1.0,2.0,2.87,4.04,0.65,3.37,2.37,-1.0,0.04
train,foul,foul_027.mp4,3,2.0,3.0,5.53,7.82,2.32,3.59,7.47,3.88,0.96
train,foul,foul_027.mp4,4,3.0,4.0,11.71,56.35,9.75,8.68,14.73,6.04,0.83
train,foul,foul_031.mp4,1,0.0,1.0,5.06,25.65,4.37,5.91,4.22,-1.7,0.21
train,foul,foul_031.mp4,2,1.0,2.0,4.66,6.25,1.19,4.02,5.29,1.27,0.75
train,foul,foul_031.mp4,3,2.0,3.0,5.8,7.94,1.15,5.91,5.68,-0.23,0.42
train,foul,foul_031.mp4,4,3.0,4.0,4.8,6.05,1.04,5.02,4.58,-0.45,0.29
train,foul,foul_034.mp4,1,0.0,1.0,10.05,11.38,1.71,8.89,11.2,2.31,0.92
train,foul,foul_034.mp4,2,1.0,2.0,8.02,10.69,2.89,10.19,5.86,-4.32,0.0
train,foul,foul_034.mp4,3,2.0,3.0,6.17,8.47,1.37,5.08,7.25,2.18,0.96
train,foul,foul_034.mp4,4,3.0,4.0,6.98,8.12,0.87,7.67,6.28,-1.39,0.0
train,foul,foul_035.mp4,1,0.0,1.0,2.81,3.98,0.47,2.79,2.84,0.06,0.67
train,foul,foul_035.mp4,2,1.0,2.0,2.29,4.11,0.74,1.9,2.69,0.79,0.88
train,foul,foul_035.mp4,3,2.0,3.0,2.53,4.02,0.64,2.99,2.08,-0.91,0.04
train,foul,foul_035.mp4,4,3.0,4.0,10.03,45.04,9.55,6.08,13.98,7.89,0.42
train,foul,foul_036.mp4,1,0.0,1.0,17.71,22.67,3.73,18.73,16.69,-2.04,0.62
train,foul,foul_036.mp4,2,1.0,2.0,19.45,27.12,4.57,21.19,17.72,-3.46,0.25
train,foul,foul_036.mp4,3,2.0,3.0,15.28,23.68,4.52,15.05,15.52,0.47,0.67
train,foul,foul_036.mp4,4,3.0,4.0,15.11,33.38,5.89,15.31,14.91,-0.4,0.38
train,foul,foul_038.mp4,1,0.0,1.0,7.06,9.1,1.54,8.4,5.71,-2.7,0.12
train,foul,foul_038.mp4,2,1.0,2.0,4.17,4.72,0.34,4.41,3.94,-0.47,0.0
train,foul,foul_038.mp4,3,2.0,3.0,3.47,4.31,0.31,3.39,3.54,0.15,0.88
train,foul,foul_038.mp4,4,3.0,4.0,7.64,67.36,12.48,10.09,5.19,-4.89,0.29
train,foul,foul_040.mp4,1,0.0,1.0,4.39,12.43,2.23,4.26,4.52,0.27,0.25
train,foul,foul_040.mp4,2,1.0,2.0,2.37,4.21,0.99,3.08,1.66,-1.43,0.0
train,foul,foul_040.mp4,3,2.0,3.0,1.8,4.9,1.07,1.35,2.25,0.9,0.96
train,foul,foul_040.mp4,4,3.0,4.0,4.46,5.84,0.74,4.39,4.53,0.14,0.33
train,foul,foul_041.mp4,1,0.0,1.0,2.58,4.36,0.67,2.94,2.22,-0.72,0.0
train,foul,foul_041.mp4,2,1.0,2.0,3.01,4.18,0.51,2.82,3.2,0.38,0.83
train,foul,foul_041.mp4,3,2.0,3.0,2.9,4.86,0.74,3.3,2.5,-0.8,0.0
train,foul,foul_041.mp4,4,3.0,4.0,3.74,41.73,7.93,2.11,5.38,3.28,0.96
train,foul,foul_042.mp4,1,0.0,1.0,9.42,13.21,1.28,10.02,8.81,-1.21,0.08
train,foul,foul_042.mp4,2,1.0,2.0,6.01,10.25,2.23,7.67,4.35,-3.32,0.08
train,foul,foul_042.mp4,3,2.0,3.0,6.61,9.02,1.17,6.43,6.78,0.35,0.92
train,foul,foul_042.mp4,4,3.0,4.0,15.55,47.76,9.9,11.74,19.37,7.63,0.42
train,foul,foul_043.mp4,1,0.0,1.0,19.01,46.7,7.0,20.38,17.63,-2.75,0.71
train,foul,foul_043.mp4,2,1.0,2.0,12.05,17.1,4.08,15.48,8.62,-6.86,0.25
train,foul,foul_043.mp4,3,2.0,3.0,13.99,51.03,9.18,14.98,13.01,-1.97,0.5
train,foul,foul_043.mp4,4,3.0,4.0,10.96,27.72,8.57,10.58,11.33,0.76,0.88
train,foul,foul_044.mp4,1,0.0,1.0,4.85,44.26,8.26,5.86,3.84,-2.02,0.33
train,foul,foul_044.mp4,2,1.0,2.0,3.35,4.12,0.26,3.56,3.15,-0.4,0.12
train,foul,foul_044.mp4,3,2.0,3.0,2.21,2.92,0.43,2.58,1.83,-0.75,0.0
train,foul,foul_044.mp4,4,3.0,4.0,7.16,41.63,9.17,1.87,12.44,10.56,0.67
train,foul,foul_045.mp4,1,0.0,1.0,8.48,32.89,5.5,6.39,10.57,4.18,0.75
train,foul,foul_045.mp4,2,1.0,2.0,10.55,13.28,1.4,10.34,10.76,0.42,0.83
train,foul,foul_045.mp4,3,2.0,3.0,10.89,13.68,1.42,10.32,11.45,1.13,0.62
train,foul,foul_045.mp4,4,3.0,4.0,5.51,36.02,7.11,8.77,2.26,-6.52,0.25
train,foul,foul_046.mp4,1,0.0,1.0,3.17,42.16,8.15,4.54,1.8,-2.73,0.33
train,foul,foul_046.mp4,2,1.0,2.0,7.24,28.34,4.98,6.43,8.05,1.62,0.25
train,foul,foul_046.mp4,3,2.0,3.0,5.01,14.06,4.65,6.86,3.17,-3.69,0.08
train,foul,foul_046.mp4,4,3.0,4.0,4.89,10.96,3.91,3.39,6.39,2.99,0.62
train,foul,foul_047.mp4,1,0.0,1.0,8.29,9.8,0.65,7.78,8.8,1.01,0.96
train,foul,foul_047.mp4,2,1.0,2.0,10.21,11.46,0.7,9.8,10.61,0.8,0.54
train,foul,foul_047.mp4,3,2.0,3.0,6.46,9.42,1.34,7.54,5.39,-2.15,0.0
train,foul,foul_047.mp4,4,3.0,4.0,3.65,4.84,0.7,4.04,3.25,-0.79,0.0
train,foul,foul_048.mp4,1,0.0,1.0,4.65,5.04,0.19,4.67,4.64,-0.03,0.46
train,foul,foul_048.mp4,2,1.0,2.0,3.79,4.6,0.69,4.4,3.18,-1.22,0.0
train,foul,foul_048.mp4,3,2.0,3.0,2.06,3.01,0.46,2.46,1.65,-0.81,0.38
train,foul,foul_048.mp4,4,3.0,4.0,15.12,54.73,11.2,12.81,17.43,4.62,0.25
train,foul,foul_049.mp4,1,0.0,1.0,19.35,103.44,22.95,30.2,8.51,-21.69,0.08
train,foul,foul_049.mp4,2,1.0,2.0,7.91,8.39,0.2,8.0,7.82,-0.18,0.46
train,foul,foul_049.mp4,3,2.0,3.0,7.65,8.2,0.24,7.8,7.5,-0.3,0.25
train,foul,foul_049.mp4,4,3.0,4.0,6.92,33.22,5.99,8.22,5.63,-2.59,0.38
train,foul,foul_050.mp4,1,0.0,1.0,9.16,10.81,0.98,10.03,8.28,-1.75,0.0
train,foul,foul_050.mp4,2,1.0,2.0,8.53,47.92,8.3,7.47,9.59,2.12,0.71
train,foul,foul_050.mp4,3,2.0,3.0,4.27,5.01,0.67,3.79,4.75,0.96,0.67
train,foul,foul_050.mp4,4,3.0,4.0,1.85,3.98,1.09,2.74,0.96,-1.77,0.0
train,foul,foul_051.mp4,1,0.0,1.0,3.49,5.44,1.26,4.63,2.34,-2.3,0.0
train,foul,foul_051.mp4,2,1.0,2.0,12.5,45.49,8.63,10.92,14.07,3.15,0.29
train,foul,foul_051.mp4,3,2.0,3.0,10.07,14.53,2.31,10.96,9.19,-1.78,0.0
train,foul,foul_051.mp4,4,3.0,4.0,16.61,38.48,5.27,18.01,15.21,-2.8,0.33
train,foul,foul_052.mp4,1,0.0,1.0,6.01,39.26,7.38,2.99,9.02,6.03,0.71
train,foul,foul_052.mp4,2,1.0,2.0,12.57,18.6,3.93,8.91,16.23,7.31,0.92
train,foul,foul_052.mp4,3,2.0,3.0,14.41,36.57,8.64,14.87,13.95,-0.92,0.71
train,foul,foul_052.mp4,4,3.0,4.0,2.17,2.55,0.19,2.29,2.05,-0.24,0.17
train,foul,foul_054.mp4,1,0.0,1.0,4.47,30.15,5.49,5.17,3.76,-1.42,0.42
train,foul,foul_054.mp4,2,1.0,2.0,3.13,4.66,0.79,2.91,3.34,0.43,0.67
train,foul,foul_054.mp4,3,2.0,3.0,3.63,5.79,0.99,3.32,3.95,0.63,0.79
train,foul,foul_054.mp4,4,3.0,4.0,5.69,28.85,4.89,4.47,6.9,2.42,0.71
train,foul,foul_058.mp4,1,0.0,1.0,23.33,79.97,21.41,21.03,25.63,4.6,0.46
train,foul,foul_058.mp4,2,1.0,2.0,3.68,7.53,1.5,4.63,2.73,-1.89,0.17
train,foul,foul_058.mp4,3,2.0,3.0,3.99,6.64,1.16,3.22,4.76,1.54,0.79
train,foul,foul_058.mp4,4,3.0,4.0,3.16,4.71,0.65,3.44,2.89,-0.55,0.17
train,foul,foul_059.mp4,1,0.0,1.0,24.44,48.22,8.9,28.32,20.57,-7.75,0.62
train,foul,foul_059.mp4,2,1.0,2.0,13.13,14.33,0.64,12.99,13.26,0.27,0.42
train,foul,foul_059.mp4,3,2.0,3.0,13.07,15.03,1.03,12.65,13.49,0.85,0.42
train,foul,foul_059.mp4,4,3.0,4.0,14.22,38.09,7.26,12.91,15.53,2.62,0.25
train,foul,foul_060.mp4,1,0.0,1.0,2.28,2.65,0.12,2.34,2.22,-0.12,0.46
train,foul,foul_060.mp4,2,1.0,2.0,14.45,48.35,10.96,13.37,15.53,2.17,0.25
train,foul,foul_060.mp4,3,2.0,3.0,17.39,22.86,8.7,16.65,18.13,1.48,0.46
train,foul,foul_060.mp4,4,3.0,4.0,12.31,53.02,10.65,17.15,7.47,-9.68,0.38
train,foul,foul_061.mp4,1,0.0,1.0,29.66,140.45,41.27,53.5,5.83,-47.67,0.0
train,foul,foul_061.mp4,2,1.0,2.0,2.7,3.92,0.56,2.83,2.56,-0.27,0.62
train,foul,foul_061.mp4,3,2.0,3.0,7.55,9.48,2.48,5.84,9.26,3.42,0.88
train,foul,foul_061.mp4,4,3.0,4.0,10.95,43.84,7.45,8.89,13.01,4.11,0.88
train,foul,foul_062.mp4,1,0.0,1.0,27.96,151.79,35.0,43.72,12.21,-31.5,0.46
train,foul,foul_062.mp4,2,1.0,2.0,14.39,17.07,1.75,14.91,13.87,-1.04,0.25
train,foul,foul_062.mp4,3,2.0,3.0,14.87,16.84,1.18,15.06,14.68,-0.38,0.17
train,foul,foul_062.mp4,4,3.0,4.0,9.07,14.41,3.54,12.15,6.0,-6.16,0.17
train,foul,foul_063.mp4,1,0.0,1.0,7.39,19.46,3.01,7.72,7.06,-0.67,0.96
train,foul,foul_063.mp4,2,1.0,2.0,11.03,67.13,13.3,17.17,4.9,-12.27,0.08
train,foul,foul_063.mp4,3,2.0,3.0,6.73,7.56,0.74,6.33,7.12,0.79,0.42
train,foul,foul_063.mp4,4,3.0,4.0,3.25,6.01,1.21,3.75,2.76,-0.99,0.0
train,foul,foul_064.mp4,1,0.0,1.0,23.77,31.32,6.11,18.72,28.81,10.09,0.92
train,foul,foul_064.mp4,2,1.0,2.0,17.24,52.82,12.74,26.31,8.16,-18.15,0.33
train,foul,foul_064.mp4,3,2.0,3.0,9.88,19.18,5.41,6.45,13.3,6.85,0.92
train,foul,foul_064.mp4,4,3.0,4.0,10.58,48.76,8.19,13.31,7.86,-5.46,0.0
train,foul,foul_067.mp4,1,0.0,1.0,20.37,77.74,17.76,21.74,19.0,-2.74,0.46
train,foul,foul_067.mp4,2,1.0,2.0,0.75,1.54,0.27,0.8,0.7,-0.1,0.04
train,foul,foul_067.mp4,3,2.0,3.0,2.67,4.96,1.06,1.78,3.55,1.76,0.92
train,foul,foul_067.mp4,4,3.0,4.0,10.0,57.34,10.98,4.64,15.35,10.71,0.67
train,foul,foul_068.mp4,1,0.0,1.0,10.01,50.14,8.45,12.03,7.98,-4.05,0.38
train,foul,foul_068.mp4,2,1.0,2.0,5.83,10.01,1.82,7.21,4.46,-2.75,0.08
train,foul,foul_068.mp4,3,2.0,3.0,8.67,12.29,2.45,7.12,10.23,3.11,0.71
train,foul,foul_068.mp4,4,3.0,4.0,7.94,12.22,2.8,9.71,6.16,-3.54,0.29
train,foul,foul_069.mp4,1,0.0,1.0,6.18,15.46,2.13,5.87,6.49,0.62,0.96
train,foul,foul_069.mp4,2,1.0,2.0,4.68,6.69,0.9,4.37,5.0,0.63,0.46
train,foul,foul_069.mp4,3,2.0,3.0,4.32,6.38,1.15,4.46,4.19,-0.27,0.46
train,foul,foul_069.mp4,4,3.0,4.0,5.39,15.63,2.75,4.34,6.44,2.1,0.46
train,foul,foul_070.mp4,1,0.0,1.0,7.11,8.11,0.54,7.31,6.91,-0.4,0.29
train,foul,foul_070.mp4,2,1.0,2.0,6.89,8.07,0.64,6.79,6.98,0.19,0.0
train,foul,foul_070.mp4,3,2.0,3.0,5.54,7.3,0.84,5.27,5.81,0.54,0.96
train,foul,foul_070.mp4,4,3.0,4.0,7.09,8.45,0.73,6.74,7.44,0.7,0.83
train,foul,foul_072.mp4,1,0.0,1.0,8.39,68.58,13.74,13.68,3.09,-10.58,0.0
train,foul,foul_072.mp4,2,1.0,2.0,3.08,4.23,0.45,3.28,2.89,-0.39,0.04
train,foul,foul_072.mp4,3,2.0,3.0,2.19,3.36,0.44,2.44,1.94,-0.5,0.04
train,foul,foul_072.mp4,4,3.0,4.0,1.26,2.53,0.43,1.47,1.05,-0.42,0.04
train,foul,foul_074.mp4,1,0.0,1.0,10.44,47.88,10.84,2.0,18.89,16.88,0.54
train,foul,foul_074.mp4,2,1.0,2.0,23.54,32.13,5.58,21.46,25.62,4.16,0.12
train,foul,foul_074.mp4,3,2.0,3.0,23.99,27.97,2.78,26.28,21.69,-4.59,0.04
train,foul,foul_074.mp4,4,3.0,4.0,24.24,26.41,1.4,23.31,25.17,1.86,0.88
train,foul,foul_075.mp4,1,0.0,1.0,4.62,6.28,1.19,3.9,5.33,1.43,0.96
train,foul,foul_075.mp4,2,1.0,2.0,5.72,7.92,1.23,5.75,5.7,-0.05,0.5
train,foul,foul_075.mp4,3,2.0,3.0,4.88,6.19,1.01,5.03,4.74,-0.29,0.38
train,foul,foul_075.mp4,4,3.0,4.0,4.41,6.6,1.32,4.69,4.12,-0.56,0.38
train,foul,foul_078.mp4,1,0.0,1.0,14.72,33.32,5.85,15.08,14.37,-0.71,0.42
train,foul,foul_078.mp4,2,1.0,2.0,16.8,28.99,5.22,17.85,15.74,-2.11,0.25
train,foul,foul_078.mp4,3,2.0,3.0,13.04,23.74,5.23,14.74,11.34,-3.4,0.04
train,foul,foul_078.mp4,4,3.0,4.0,14.81,52.83,9.35,13.84,15.78,1.94,0.79
train,foul,foul_081.mp4,1,0.0,1.0,18.22,77.89,18.41,24.04,12.4,-11.65,0.25
train,foul,foul_081.mp4,2,1.0,2.0,7.37,9.28,1.39,8.52,6.21,-2.31,0.33
train,foul,foul_081.mp4,3,2.0,3.0,4.24,5.08,0.37,4.51,3.97,-0.54,0.29
train,foul,foul_081.mp4,4,3.0,4.0,3.46,4.4,0.3,3.47,3.46,-0.01,0.75
train,foul,foul_082.mp4,1,0.0,1.0,4.9,44.05,8.22,6.6,3.2,-3.4,0.0
train,foul,foul_082.mp4,2,1.0,2.0,4.42,9.31,1.96,3.23,5.61,2.39,0.96
train,foul,foul_082.mp4,3,2.0,3.0,10.75,17.25,3.27,9.3,12.19,2.89,0.92
train,foul,foul_082.mp4,4,3.0,4.0,15.06,70.14,11.86,17.9,12.23,-5.67,0.33
train,foul,foul_084.mp4,1,0.0,1.0,6.77,7.77,0.55,7.01,6.53,-0.48,0.08
train,foul,foul_084.mp4,2,1.0,2.0,4.23,6.25,1.31,5.3,3.16,-2.15,0.08
train,foul,foul_084.mp4,3,2.0,3.0,3.71,6.34,1.82,2.02,5.41,3.39,0.83
train,foul,foul_084.mp4,4,3.0,4.0,6.27,7.78,0.76,6.15,6.4,0.26,0.42
train,normal_clean,normal_001.mp4,1,0.0,1.0,3.65,5.04,0.82,4.18,3.13,-1.05,0.08
train,normal_clean,normal_001.mp4,2,1.0,2.0,5.12,6.19,0.51,5.35,4.89,-0.46,0.08
train,normal_clean,normal_001.mp4,3,2.0,3.0,4.18,4.91,0.37,4.27,4.08,-0.2,0.38
train,normal_clean,normal_001.mp4,4,3.0,4.0,3.3,4.45,1.03,4.05,2.56,-1.49,0.21
train,normal_clean,normal_002.mp4,1,0.0,1.0,4.71,5.03,0.27,4.95,4.47,-0.48,0.25
train,normal_clean,normal_002.mp4,2,1.0,2.0,3.17,4.71,0.84,3.9,2.45,-1.45,0.04
train,normal_clean,normal_002.mp4,3,2.0,3.0,4.04,4.69,0.56,3.67,4.41,0.73,0.88
train,normal_clean,normal_002.mp4,4,3.0,4.0,4.08,4.37,0.15,4.14,4.02,-0.12,0.33
train,normal_clean,normal_006.mp4,1,0.0,1.0,3.42,4.34,0.41,3.18,3.67,0.48,0.88
train,normal_clean,normal_006.mp4,2,1.0,2.0,3.61,4.0,0.28,3.83,3.39,-0.44,0.33
train,normal_clean,normal_006.mp4,3,2.0,3.0,2.72,3.55,0.41,2.63,2.82,0.19,0.75
train,normal_clean,normal_006.mp4,4,3.0,3.16,1.84,2.15,0.34,1.37,2.07,0.71,0.33
train,normal_clean,normal_007.mp4,1,0.0,1.0,7.49,9.91,1.49,7.24,7.74,0.5,0.83
train,normal_clean,normal_007.mp4,2,1.0,2.0,11.14,39.79,6.12,11.4,10.87,-0.54,0.38
train,normal_clean,normal_007.mp4,3,2.0,3.0,7.51,10.66,1.87,8.76,6.26,-2.5,0.0
train,normal_clean,normal_007.mp4,4,3.0,4.0,9.61,36.31,6.04,9.99,9.23,-0.76,0.17
train,normal_clean,normal_008.mp4,1,0.0,1.0,15.54,145.04,30.22,14.94,16.14,1.2,0.67
train,normal_clean,normal_008.mp4,2,1.0,2.0,5.12,9.03,1.31,4.88,5.37,0.49,0.04
train,normal_clean,normal_008.mp4,3,2.0,3.0,6.96,7.67,0.37,6.81,7.11,0.3,0.5
train,normal_clean,normal_008.mp4,4,3.0,4.0,6.37,6.94,0.35,6.13,6.6,0.47,0.79
train,normal_clean,normal_009.mp4,1,0.0,1.0,6.32,20.09,2.89,6.92,5.72,-1.2,0.12
train,normal_clean,normal_009.mp4,2,1.0,2.0,4.98,5.67,0.68,5.08,4.88,-0.2,0.58
train,normal_clean,normal_009.mp4,3,2.0,3.0,5.38,6.55,0.9,5.57,5.19,-0.38,0.58
train,normal_clean,normal_009.mp4,4,3.0,4.0,5.84,6.73,0.7,5.92,5.76,-0.16,0.38
train,normal_clean,normal_010.mp4,1,0.0,1.0,4.79,6.11,0.4,4.53,5.05,0.51,0.75
train,normal_clean,normal_010.mp4,2,1.0,2.0,6.75,7.48,0.6,6.23,7.28,1.05,0.83
train,normal_clean,normal_010.mp4,3,2.0,3.0,5.88,7.36,1.77,7.19,4.57,-2.63,0.08
train,normal_clean,normal_010.mp4,4,3.0,4.0,7.31,8.8,1.12,6.37,8.25,1.88,0.83
train,normal_clean,normal_011.mp4,1,0.0,1.0,6.27,9.25,2.29,5.47,7.07,1.59,0.12
train,normal_clean,normal_011.mp4,2,1.0,2.0,7.59,9.66,1.25,8.1,7.09,-1.01,0.96
train,normal_clean,normal_011.mp4,3,2.0,3.0,12.02,13.76,0.93,11.48,12.57,1.09,0.54
train,normal_clean,normal_011.mp4,4,3.0,4.0,12.52,28.64,4.56,16.15,8.89,-7.27,0.46
train,normal_clean,normal_012.mp4,1,0.0,1.0,9.0,16.81,4.0,5.78,12.22,6.45,0.75
